ts_utc,hotel,checkin,room,price,currency,cancelable,meal,n_plans
2026-09-26 01:52:01,VR Auckland City,2026-09-26,Studio Apartment,87,USD,,Room Only,26
2026-09-26 01:52:01,VR Auckland City,2026-10-03,Studio Apartment,94,USD,,Room Only,69
2026-09-26 01:52:01,VR Auckland City,2026-10-06,Studio Apartment,69,USD,,Room Only,135
2026-09-26 01:52:01,VR Auckland City,2026-10-13,Studio Apartment,58,USD,,Room Only,157
2026-09-26 01:52:01,Shakespeare Hotel Auckland,2026-10-03,"Double Room, 1 Queen Bed",57,USD,,Room Only,28
2026-09-26 01:52:01,Shakespeare Hotel Auckland,2026-10-06,Double Room,56,USD,,Room Only,28
2026-09-26 01:52:01,Shakespeare Hotel Auckland,2026-10-13,Double Room,50,USD,,Room Only,37
2026-09-26 01:52:01,Auckland City Hotel,2026-10-03,Standard Twin Room,68,USD,,Room Only,236
2026-09-26 01:52:01,Auckland City Hotel,2026-10-06,Standard Twin Room,66,USD,,Room Only,734
2026-09-26 01:52:01,Auckland City Hotel,2026-10-13,Standard Queen Room,61,USD,,Room Only,524
2026-09-26 01:52:01,ibis budget Auckland Central,2026-10-03,Double Studio,65,USD,,Room Only,483
2026-09-26 01:52:01,ibis budget Auckland Central,2026-10-06,Double Studio,51,USD,,Room Only,470
2026-09-26 01:52:01,ibis budget Auckland Central,2026-10-13,Double Studio,58,USD,,Room Only,479
2026-09-26 01:52:01,The Quadrant Hotel & Suites Auckland,2026-09-26,Classic One Bedroom Apartment,102,USD,,Room Only,35
2026-09-26 01:52:01,The Quadrant Hotel & Suites Auckland,2026-10-03,Classic One Bedroom Apartment,84,USD,,Room Only,114
2026-09-26 01:52:01,The Quadrant Hotel & Suites Auckland,2026-10-06,Deluxe Queen Studio,73,USD,,Room Only,294
2026-09-26 01:52:01,The Quadrant Hotel & Suites Auckland,2026-10-13,Deluxe Queen Studio,57,USD,,Room Only,288
2026-09-26 01:52:01,Copthorne Hotel Auckland City,2026-09-26,"Superior Room, 1 King Bed",85,USD,,Room Only,114
2026-09-26 01:52:01,Copthorne Hotel Auckland City,2026-10-03,Suite 1 King,83,USD,,Room Only,353
2026-09-26 01:52:01,Copthorne Hotel Auckland City,2026-10-06,"Superior Room, 1 King Bed",62,USD,,Room Only,468
2026-09-26 01:52:01,Copthorne Hotel Auckland City,2026-10-13,"Superior Room, 2 Double Beds",56,USD,,Room Only,322
2026-09-26 01:52:01,Albion Hotel Auckland,2026-09-26,Standard Double Room,53,USD,,Room Only,58
2026-09-26 01:52:01,Albion Hotel Auckland,2026-10-03,Triple Studio,70,USD,,Room Only,142
2026-09-26 01:52:01,Albion Hotel Auckland,2026-10-06,Standard Double Room,47,USD,,Room Only,131
2026-09-26 01:52:01,Albion Hotel Auckland,2026-10-13,Standard Double Room,47,USD,,Room Only,146
2026-09-26 01:52:01,Ascotia Off Queen Auckland,2026-09-26,Standard King Room,72,USD,,Room Only,92
2026-09-26 01:52:01,Ascotia Off Queen Auckland,2026-10-03,Queen Room,54,USD,,Room Only,258
2026-09-26 01:52:01,Ascotia Off Queen Auckland,2026-10-06,Standard King Room,46,USD,,Room Only,269
2026-09-26 01:52:01,Ascotia Off Queen Auckland,2026-10-13,Queen Room,42,USD,,Room Only,340
2026-09-26 01:52:01,Abstract Hotel,2026-09-26,Cozy Studio,68,USD,,Room Only,104
2026-09-26 01:52:01,Abstract Hotel,2026-10-03,Cozy Studio,84,USD,,Room Only,163
2026-09-26 01:52:01,Abstract Hotel,2026-10-06,Cozy Studio,61,USD,,Room Only,171
2026-09-26 01:52:01,Abstract Hotel,2026-10-13,Cozy Studio,61,USD,,Room Only,173
2026-09-26 01:52:01,Edit Auckland Central,2026-09-26,Standard Studio King,75,USD,,Room Only,260
2026-09-26 01:52:01,Edit Auckland Central,2026-10-03,STUDIO Corporate King,79,USD,,Room Only,479
2026-09-26 01:52:01,Edit Auckland Central,2026-10-06,Standard Studio King,57,USD,,Room Only,642
2026-09-26 01:52:01,Edit Auckland Central,2026-10-13,STUDIO Corporate King,60,USD,,Room Only,559
