ts_utc,hotel,checkin,room,price,currency,cancelable,meal,n_plans
2026-09-26 00:52:00,VR Auckland City,2026-09-26,Studio Apartment,87,USD,,Room Only,22
2026-09-26 00:52:00,VR Auckland City,2026-10-03,Studio Apartment,94,USD,,Room Only,61
2026-09-26 00:52:00,VR Auckland City,2026-10-06,Studio Apartment,69,USD,,Room Only,133
2026-09-26 00:52:00,VR Auckland City,2026-10-13,Studio Apartment,58,USD,,Room Only,133
2026-09-26 00:52:00,Shakespeare Hotel Auckland,2026-10-03,"Double Room, 1 Queen Bed",57,USD,,Room Only,30
2026-09-26 00:52:00,Shakespeare Hotel Auckland,2026-10-06,Double Room,56,USD,,Room Only,28
2026-09-26 00:52:00,Shakespeare Hotel Auckland,2026-10-13,Double Room,50,USD,,Room Only,37
2026-09-26 00:52:00,Auckland City Hotel,2026-10-03,Standard Twin Room,68,USD,,Room Only,278
2026-09-26 00:52:00,Auckland City Hotel,2026-10-06,Standard Twin Room,66,USD,,Room Only,716
2026-09-26 00:52:00,Auckland City Hotel,2026-10-13,Standard Queen Room,61,USD,,Room Only,622
2026-09-26 00:52:00,ibis budget Auckland Central,2026-10-03,Double Studio,65,USD,,Room Only,505
2026-09-26 00:52:00,ibis budget Auckland Central,2026-10-06,Double Studio,51,USD,,Room Only,482
2026-09-26 00:52:00,ibis budget Auckland Central,2026-10-13,Double Studio,58,USD,,Room Only,443
2026-09-26 00:52:00,The Quadrant Hotel & Suites Auckland,2026-09-26,Classic One Bedroom Apartment,97,USD,,Room Only,33
2026-09-26 00:52:00,The Quadrant Hotel & Suites Auckland,2026-10-03,Classic One Bedroom Apartment,84,USD,,Room Only,82
2026-09-26 00:52:00,The Quadrant Hotel & Suites Auckland,2026-10-06,Deluxe Queen Studio,73,USD,,Room Only,193
2026-09-26 00:52:00,The Quadrant Hotel & Suites Auckland,2026-10-13,Deluxe Queen Studio,57,USD,,Room Only,255
2026-09-26 00:52:00,Copthorne Hotel Auckland City,2026-09-26,"Superior Room, 1 King Bed",85,USD,,Room Only,123
2026-09-26 00:52:00,Copthorne Hotel Auckland City,2026-10-03,Suite 1 King,83,USD,,Room Only,353
2026-09-26 00:52:00,Copthorne Hotel Auckland City,2026-10-06,"Superior Room, 1 King Bed",62,USD,,Room Only,438
2026-09-26 00:52:00,Copthorne Hotel Auckland City,2026-10-13,"Superior Room, 2 Double Beds",56,USD,,Room Only,320
2026-09-26 00:52:00,Albion Hotel Auckland,2026-09-26,Standard Double Room,60,USD,,Room Only,49
2026-09-26 00:52:00,Albion Hotel Auckland,2026-10-03,Triple Studio,70,USD,,Room Only,132
2026-09-26 00:52:00,Albion Hotel Auckland,2026-10-06,Standard Double Room,47,USD,,Room Only,121
2026-09-26 00:52:00,Albion Hotel Auckland,2026-10-13,Standard Double Room,47,USD,,Room Only,136
2026-09-26 00:52:00,Ascotia Off Queen Auckland,2026-09-26,Standard King Room,72,USD,,Room Only,88
2026-09-26 00:52:00,Ascotia Off Queen Auckland,2026-10-03,Queen Room,54,USD,,Room Only,214
2026-09-26 00:52:00,Ascotia Off Queen Auckland,2026-10-06,Standard King Room,46,USD,,Room Only,217
2026-09-26 00:52:00,Ascotia Off Queen Auckland,2026-10-13,Queen Room,42,USD,,Room Only,340
2026-09-26 00:52:00,Abstract Hotel,2026-09-26,Cozy Studio,68,USD,,Room Only,94
2026-09-26 00:52:00,Abstract Hotel,2026-10-03,Cozy Studio,84,USD,,Room Only,152
2026-09-26 00:52:00,Abstract Hotel,2026-10-06,Cozy Studio,61,USD,,Room Only,141
2026-09-26 00:52:00,Abstract Hotel,2026-10-13,Cozy Studio,61,USD,,Room Only,153
2026-09-26 00:52:00,Edit Auckland Central,2026-09-26,Standard Studio King,75,USD,,Room Only,279
2026-09-26 00:52:00,Edit Auckland Central,2026-10-03,STUDIO Corporate King,79,USD,,Room Only,445
2026-09-26 00:52:00,Edit Auckland Central,2026-10-06,Standard Studio King,57,USD,,Room Only,645
2026-09-26 00:52:00,Edit Auckland Central,2026-10-13,STUDIO Corporate King,60,USD,,Room Only,546
